trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
191,False,"{'a': 0.99, 'e': 0.14814499154757946}",25,17,14.886586911901905,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.99, 'e': 0.14666354163210368}",25,15,17.93735992929987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.99, 'e': 0.14519690621578263}",20,10,15.005303392321157,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.99, 'e': 0.1437449371536248}",35,24,21.550306366981264,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.99, 'e': 0.14230748778208857}",30,21,17.65492856568676,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.99, 'e': 0.14088441290426768}",25,11,25.37090435876703,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.99, 'e': 0.139475568775225}",25,2,38.0842395381115,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.99, 'e': 0.13808081308747275}",30,14,27.873174277792348,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.99, 'e': 0.136700004956598}",20,7,25.812302391015496,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.99, 'e': 0.13533300490703204}",25,11,26.206131679200816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.99, 'e': 0.13397967485796172}",35,25,19.79744460601362,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.99, 'e': 0.1326398781093821}",20,6,23.156256801714914,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.99, 'e': 0.13131347932828827}",20,13,14.112623459814493,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.99, 'e': 0.1300003445350054}",20,10,18.475074174234187,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.99, 'e': 0.12870034108965533}",30,22,13.548649796042627,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.99, 'e': 0.1274133376787588}",20,11,18.235889435099786,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.99, 'e': 0.12613920430197118}",25,19,10.951352438474611,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.99, 'e': 0.12487781225895148}",20,14,10.675595486892137,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.99, 'e': 0.12362903413636196}",25,12,24.297157265391686,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.99, 'e': 0.12239274379499834}",25,20,7.7115720623933885,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.99, 'e': 0.12116881635704835}",20,13,11.711080625429677,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
